Full Name,Quote,Related Tags,Born Date,Country,State,City,Biography
Mark Twain,“A lie can travel half way around the world while the truth is putting on its shoes.”,"misattributed-mark-twain, truth","November 30, 1835",The United States,Missouri,Florida,"Samuel Langhorne Clemens, better known by his pen name Mark Twain, was an American author and humori"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity, faith, religion, sun","November 29, 1898",Ireland,Unknown,Belfast,CLIVE STAPLES LEWIS (1898–1963) was one of the intellectual giants of the twentieth century and argu
J.K. Rowling,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",truth,"July 31, 1965",The United Kgdom,South Gloucestershire,Yate,"See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced like rolli"
Jimi Hendrix,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”","death, life","November 27, 1942",The United States,Washgton,Seattle,"Jimi Hendrix was an American guitarist, singer and songwriter. Hendrix is considered one of the grea"
J.M. Barrie,“To die will be an awfully big adventure.”,"adventure, love","May 09, 1860",The United Kgdom,Angus,Kirriemuir,"Sir James Matthew Barrie, 1st Baronet, OM (9 May 1860 – 19 June 1937) was a Scottish author and dram"
E.E. Cummings,“It takes courage to grow up and become who you really are.”,courage,"October 14, 1894",The United States,Massachusetts,Cambridge,"Edward Estlin Cummings was born in Cambridge, Massachusetts, on October 14, 1894. He began writing p"
Khaled Hosseini,“But better to get hurt by the truth than comforted with a lie.”,life,"March 04, 1965",Afghanistan,Unknown,Kabul,"Hosseini was born in Kabul, Afghanistan, in 1965. In 1970 Hosseini and his family moved to Iran wher"
Madeleine L'Engle,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”","books, children, difficult, grown-ups, write, writers, writing","November 29, 1918",The United States,New York,New York City,"Madeleine L'Engle was an American writer best known for her Young Adult fiction, particularly the Ne"
Mark Twain,“Never tell the truth to people who are not worthy of it.”,truth,"November 30, 1835",The United States,Missouri,Florida,"Samuel Langhorne Clemens, better known by his pen name Mark Twain, was an American author and humori"
Dr. Seuss,"“A person's a person, no matter how small.”",inspirational,"March 02, 1904",The United States,MA,Sprgfield,"Theodor Seuss Geisel was born 2 March 1904 in Springfield, MA. He graduated Dartmouth College in 192"
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books, mind","September 20, 1948",The United States,New Jersey,Bayonne,"George R. R. Martin was born September 20, 1948, in Bayonne, New Jersey. His father was Raymond Coll"
